query,rxcui,rxnorm_name,tty,status,source_version,retrieval_date
Paracetamolo/codeina,,,,NIL,RxNorm current via RxNav,2026-06-28
Paroxetina,32937,paroxetine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Perfenazina,8076,perphenazine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Perfenazina/amitriptilina,,,,NIL,RxNorm current via RxNav,2026-06-28
perindopril,54552,perindopril,IN,LINKED,RxNorm current via RxNav,2026-06-28
Perindopril,54552,perindopril,IN,LINKED,RxNorm current via RxNav,2026-06-28
Perindopril/amlodipina,,,,NIL,RxNorm current via RxNav,2026-06-28
Perindopril/indapamide,388499,indapamide / perindopril,MIN,LINKED,RxNorm current via RxNav,2026-06-28
Perindopril/indapamide/amlodipina,,,,NIL,RxNorm current via RxNav,2026-06-28
Pioglitazone,33738,pioglitazone,IN,LINKED,RxNorm current via RxNav,2026-06-28
piridossina,,,,NIL,RxNorm current via RxNav,2026-06-28
piridossina cloridrato,,,,NIL,RxNorm current via RxNav,2026-06-28
Potassio canrenoato,,,,NIL,RxNorm current via RxNav,2026-06-28
potassio cloruro,,,,NIL,RxNorm current via RxNav,2026-06-28
Potassio cloruro,,,,NIL,RxNorm current via RxNav,2026-06-28
Pramipexolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Prasugrel,613391,prasugrel,IN,LINKED,RxNorm current via RxNav,2026-06-28
Pravastatina,42463,pravastatin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Prednisone,8640,prednisone,IN,LINKED,RxNorm current via RxNav,2026-06-28
Pregabalin,187832,pregabalin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Promazina,8742,promazine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Propafenone,8754,propafenone,IN,LINKED,RxNorm current via RxNav,2026-06-28
Propofol,8782,propofol,IN,LINKED,RxNorm current via RxNav,2026-06-28
Propranololo,8787,propranolol,IN,LINKED,RxNorm current via RxNav,2026-06-28
Quetiapina,51272,quetiapine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rabeprazolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Ramipril,35296,ramipril,IN,LINKED,RxNorm current via RxNav,2026-06-28
Ramipril/amlodipina,,,,NIL,RxNorm current via RxNav,2026-06-28
Ramipril/bisoprololo,,,,NIL,RxNorm current via RxNav,2026-06-28
Ramipril/idroclorotiazide,,,,NIL,RxNorm current via RxNav,2026-06-28
Ranolazina,35829,ranolazine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rasagilina,134748,rasagiline,IN,LINKED,RxNorm current via RxNav,2026-06-28
riboflavina,9346,riboflavin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rifampicina,9384,rifampin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rifaximina,35619,rifaximin,IN,LINKED,RxNorm current via RxNav,2026-06-28
rilpivirina,1102270,rilpivirine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Riociguat,1439816,riociguat,IN,LINKED,RxNorm current via RxNav,2026-06-28
Risperidone,35636,risperidone,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rivaroxaban,1114195,rivaroxaban,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rivastigmina,183379,rivastigmine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Ropinirolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Rosuvastatina,301542,rosuvastatin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Rosuvastatina/acido acetilsalicilico,,,,NIL,RxNorm current via RxNav,2026-06-28
Rosuvastatina/amlodipina,,,,NIL,RxNorm current via RxNav,2026-06-28
Rosuvastatina/ezetimibe,,,,NIL,RxNorm current via RxNav,2026-06-28
Roxadustat,,,,NIL,RxNorm current via RxNav,2026-06-28
Sacubitril,1656328,sacubitril,IN,LINKED,RxNorm current via RxNav,2026-06-28
Sacubitril/valsartan,1656339,sacubitril / valsartan,MIN,LINKED,RxNorm current via RxNav,2026-06-28
salbutamolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Salbutamolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Salmeterolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Salmeterolo/fluticasone,,,,NIL,RxNorm current via RxNav,2026-06-28
Selegilina,9639,selegiline,IN,LINKED,RxNorm current via RxNav,2026-06-28
Selexipag,1729002,selexipag,IN,LINKED,RxNorm current via RxNav,2026-06-28
Semaglutide,1991302,semaglutide,IN,LINKED,RxNorm current via RxNav,2026-06-28
Sertralina,36437,sertraline,IN,LINKED,RxNorm current via RxNav,2026-06-28
sett,,,,NIL,RxNorm current via RxNav,2026-06-28
Sevelamer,214824,sevelamer,IN,LINKED,RxNorm current via RxNav,2026-06-28
Sildenafil,136411,sildenafil,IN,LINKED,RxNorm current via RxNav,2026-06-28
Silodosina,720825,silodosin,IN,LINKED,RxNorm current via RxNav,2026-06-28
simvastatina,36567,simvastatin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Simvastatina,36567,simvastatin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Sitagliptin,593411,sitagliptin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Sitagliptin/ertugliflozin,1992825,ertugliflozin / sitagliptin,MIN,LINKED,RxNorm current via RxNav,2026-06-28
Sitagliptin/metformina,,,,NIL,RxNorm current via RxNav,2026-06-28
sodio bicarbonato,36676,sodium bicarbonate,IN,LINKED,RxNorm current via RxNav,2026-06-28
Sodio bicarbonato,36676,sodium bicarbonate,IN,LINKED,RxNorm current via RxNav,2026-06-28
sodio cloruro,,,,NIL,RxNorm current via RxNav,2026-06-28
Sodio ferrigluconato,,,,NIL,RxNorm current via RxNav,2026-06-28
Sodio polistirensulfonato,,,,NIL,RxNorm current via RxNav,2026-06-28
sodio valproato,,,,NIL,RxNorm current via RxNav,2026-06-28
Sodio zirconio ciclosilicato,,,,NIL,RxNorm current via RxNav,2026-06-28
Somatropina,61148,somatropin,IN,LINKED,RxNorm current via RxNav,2026-06-28
sorbitolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Sotalolo,9947,sotalol,IN,LINKED,RxNorm current via RxNav,2026-06-28
Spironolattone,9997,spironolactone,IN,LINKED,RxNorm current via RxNav,2026-06-28
spironolattone,9997,spironolactone,IN,LINKED,RxNorm current via RxNav,2026-06-28
Statina,,,,NIL,RxNorm current via RxNav,2026-06-28
Sucralfato,10156,sucralfate,IN,LINKED,RxNorm current via RxNav,2026-06-28
sulfametoxazolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Sumatriptan,37418,sumatriptan,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tacrolimus,42316,tacrolimus,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tadalafil,358263,tadalafil,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tafamidis,1545063,tafamidis,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tafluprost,1244607,tafluprost,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tamoxifene,10324,tamoxifen,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tamsulosina,77492,tamsulosin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tapentadolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Telmisartan,73494,telmisartan,IN,LINKED,RxNorm current via RxNav,2026-06-28
Telmisartan/idroclorotiazide,,,,NIL,RxNorm current via RxNav,2026-06-28
Tenofovir alafenamide,1721603,tenofovir alafenamide,IN,LINKED,RxNorm current via RxNav,2026-06-28
tenofovir alafenamide,1721603,tenofovir alafenamide,IN,LINKED,RxNorm current via RxNav,2026-06-28
Terazosina,37798,terazosin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tiamina,10454,thiamine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tiamina nitrato,,,,NIL,RxNorm current via RxNav,2026-06-28
Tibolone,38260,tibolone,IN,LINKED,RxNorm current via RxNav,2026-06-28
Ticagrelor,1116632,ticagrelor,IN,LINKED,RxNorm current via RxNav,2026-06-28
Ticlopidina,10594,ticlopidine,IN,LINKED,RxNorm current via RxNav,2026-06-28
timololo,10600,timolol,IN,LINKED,RxNorm current via RxNav,2026-06-28
Timololo,10600,timolol,IN,LINKED,RxNorm current via RxNav,2026-06-28
timololo maleato,,,,NIL,RxNorm current via RxNav,2026-06-28
Timololo/bimatoprost,,,,NIL,RxNorm current via RxNav,2026-06-28
Tiotropio,,,,NIL,RxNorm current via RxNav,2026-06-28
Tiotropio/olodaterolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Tirzepatide,2601723,tirzepatide,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tobramicina,10627,tobramycin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tobramicina/desametasone,,,,NIL,RxNorm current via RxNav,2026-06-28
Topiramato,38404,topiramate,IN,LINKED,RxNorm current via RxNav,2026-06-28
Torasemide,38413,torsemide,IN,LINKED,RxNorm current via RxNav,2026-06-28
Tramadolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Travoprost,283809,travoprost,IN,LINKED,RxNorm current via RxNav,2026-06-28
Trazodone,10737,trazodone,IN,LINKED,RxNorm current via RxNav,2026-06-28
Treprostinil,343048,treprostinil,IN,LINKED,RxNorm current via RxNav,2026-06-28
Triazolam,10767,triazolam,IN,LINKED,RxNorm current via RxNav,2026-06-28
Trimetoprim,,,,NIL,RxNorm current via RxNav,2026-06-28
Trimetoprim/sulfametoxazolo,,,,NIL,RxNorm current via RxNav,2026-06-28
umeclidinio,,,,NIL,RxNorm current via RxNav,2026-06-28
Umeclidinio,,,,NIL,RxNorm current via RxNav,2026-06-28
Umeclidinio/vilanterolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Valganciclovir,275891,valganciclovir,IN,LINKED,RxNorm current via RxNav,2026-06-28
valsartan,69749,valsartan,IN,LINKED,RxNorm current via RxNav,2026-06-28
Valsartan,69749,valsartan,IN,LINKED,RxNorm current via RxNav,2026-06-28
Valsartan/idroclorotiazide,,,,NIL,RxNorm current via RxNav,2026-06-28
Venlafaxina,39786,venlafaxine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Verapamil,11170,verapamil,IN,LINKED,RxNorm current via RxNav,2026-06-28
Vericiguat,2475830,vericiguat,IN,LINKED,RxNorm current via RxNav,2026-06-28
vilanterolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Vilanterolo,,,,NIL,RxNorm current via RxNav,2026-06-28
Vilanterolo/umeclidinio/fluticasone,,,,NIL,RxNorm current via RxNav,2026-06-28
Vildagliptin,596554,vildagliptin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Vildagliptin/metformina,,,,NIL,RxNorm current via RxNav,2026-06-28
Vortioxetina,1455099,vortioxetine,IN,LINKED,RxNorm current via RxNav,2026-06-28
Warfarin,11289,warfarin,IN,LINKED,RxNorm current via RxNav,2026-06-28
Warfarin sodico,,,,NIL,RxNorm current via RxNav,2026-06-28
Zofenopril,39990,zofenopril,IN,LINKED,RxNorm current via RxNav,2026-06-28
Zolpidem,39993,zolpidem,IN,LINKED,RxNorm current via RxNav,2026-06-28
