normalized_brand,brand_example,ingredient_label,active_ingredients,observation_count,total_brand_observations,relative_frequency,rank,is_unique_top_candidate
firmagon,Firmagon,Degarelix,"[""Degarelix""]",1,1,1.0,1,True
flecainide auro,Flecainide auro,Flecainide,"[""Flecainide""]",16,16,1.0,1,True
fleiderina,Fleiderina,Flecainide,"[""Flecainide""]",10,10,1.0,1,True
flexiban,Flexiban,Ciclobenzaprina,"[""Ciclobenzaprina""]",1,1,1.0,1,True
flixotide,Flixotide,Fluticasone,"[""Fluticasone""]",1,1,1.0,1,True
fluconazolo abc,Fluconazolo abc,Fluconazolo,"[""Fluconazolo""]",1,1,1.0,1,True
fluimucil grat per sol os,Fluimucil grat. per sol. os,Acetilcisteina,"[""Acetilcisteina""]",11,11,1.0,1,True
fluoxetina eg,Fluoxetina eg,Fluoxetina,"[""Fluoxetina""]",1,1,1.0,1,True
fluspiral,Fluspiral,Fluticasone,"[""Fluticasone""]",2,2,1.0,1,True
flutiformo,Flutiformo,Fluticasone/formoterolo,"[""Fluticasone"", ""formoterolo""]",3,3,1.0,1,True
folicom,Folicom,Acido folico,"[""Acido folico""]",4,4,1.0,1,True
folidex,Folidex,Acido folico,"[""Acido folico""]",3,3,1.0,1,True
folina,Folina,Acido folico,"[""Acido folico""]",85,85,1.0,1,True
fortidose coll rp,Fortidose coll. rp,Carteololo,"[""Carteololo""]",1,1,1.0,1,True
forxiga,Forxiga,Dapagliflozin,"[""Dapagliflozin""]",144,144,1.0,1,True
foster,Foster,Beclometasone/formoterolo,"[""Beclometasone"", ""formoterolo""]",9,9,1.0,1,True
frequil,Frequil,Flecainide,"[""Flecainide""]",6,6,1.0,1,True
fripass,Fripass,Cilostazolo,"[""Cilostazolo""]",1,1,1.0,1,True
frobemucil,Frobemucil,Acetilcisteina,"[""Acetilcisteina""]",1,1,1.0,1,True
fucidin,Fucidin,Acido fusidico,"[""Acido fusidico""]",1,1,1.0,1,True
fulcro,Fulcro,Fenofibrato,"[""Fenofibrato""]",1,1,1.0,1,True
fulcrosupra,Fulcrosupra,Fenofibrato,"[""Fenofibrato""]",7,7,1.0,1,True
furosemide,Furosemide,Furosemide,"[""Furosemide""]",5,5,1.0,1,True
furosemide aur,Furosemide aur,Furosemide,"[""Furosemide""]",3,3,1.0,1,True
furosemide galen,Furosemide galen,Furosemide,"[""Furosemide""]",4,4,1.0,1,True
furosemide hexal,Furosemide hexal,Furosemide,"[""Furosemide""]",6,6,1.0,1,True
furosemide l f m,Furosemide l.f.m.,Furosemide,"[""Furosemide""]",63,63,1.0,1,True
furosemide my,Furosemide my,Furosemide,"[""Furosemide""]",22,22,1.0,1,True
gabapentin abc,Gabapentin abc,Gabapentin,"[""Gabapentin""]",3,3,1.0,1,True
gabapentin auro,Gabapentin auro,Gabapentin,"[""Gabapentin""]",2,2,1.0,1,True
gabapentin my,Gabapentin my,Gabapentin,"[""Gabapentin""]",2,2,1.0,1,True
gabapentin sand,Gabapentin sand,Gabapentin,"[""Gabapentin""]",5,5,1.0,1,True
gadral,Gadral,Magaldrato,"[""Magaldrato""]",3,3,1.0,1,True
gaduar,Gaduar,Olmesartan medoxomil/amlodipina/idroclorotiazide,"[""Olmesartan medoxomil"", ""amlodipina"", ""idroclorotiazide""]",1,1,1.0,1,True
ganfort coll,Ganfort coll.,Timololo/bimatoprost,"[""Timololo"", ""bimatoprost""]",1,1,1.0,1,True
gardenale 100mg 20cp cf 1pz,Gardenale 100mg 20cp cf/1pz,Fenobarbital,"[""Fenobarbital""]",1,1,1.0,1,True
gastroloc,Gastroloc,Pantoprazolo,"[""Pantoprazolo""]",10,10,1.0,1,True
gauti,Gauti,Febuxostat,"[""Febuxostat""]",1,1,1.0,1,True
gemfibrozil doc,Gemfibrozil doc,Gemfibrozil,"[""Gemfibrozil""]",2,2,1.0,1,True
giant,Giant,Olmesartan medoxomil/amlodipina,"[""Olmesartan medoxomil"", ""amlodipina""]",7,7,1.0,1,True
giasion,Giasion,Cefditoren,"[""Cefditoren""]",2,2,1.0,1,True
gliatilin,Gliatilin,Colina alfoscerato,"[""Colina alfoscerato""]",1,1,1.0,1,True
glucophage,Glucophage,Metformina,"[""Metformina""]",19,19,1.0,1,True
glucophage unid,Glucophage unid,Metformina,"[""Metformina""]",1,1,1.0,1,True
glyxambi,Glyxambi,Empagliflozin/linagliptin,"[""Empagliflozin"", ""linagliptin""]",1,1,1.0,1,True
goganza,Goganza,Macrogol 3350/sodio bicarbonato/sodio cloruro/potassio cloruro,"[""Macrogol 3350"", ""sodio bicarbonato"", ""sodio cloruro"", ""potassio cloruro""]",1,1,1.0,1,True
goltor,Goltor,Ezetimibe/simvastatina,"[""Ezetimibe"", ""simvastatina""]",1,1,1.0,1,True
halcion,Halcion,Triazolam,"[""Triazolam""]",4,4,1.0,1,True
haldol,Haldol,Aloperidolo,"[""Aloperidolo""]",1,1,1.0,1,True
herzatec,Herzatec,Ramipril,"[""Ramipril""]",1,1,1.0,1,True
himavat,Himavat,Ezetimibe/atorvastatina,"[""Ezetimibe"", ""atorvastatina""]",3,3,1.0,1,True
humalog,Humalog,Insulina lispro da dna ricombinante,"[""Insulina lispro da dna ricombinante""]",34,35,0.9714285714285714,1,False
humalog,Humalog,Insulina lispro,"[""Insulina lispro""]",1,35,0.02857142857142857,2,False
humulin r,Humulin r,Insulina umana da dna ricombinante,"[""Insulina umana da dna ricombinante""]",3,3,1.0,1,True
hyalistil coll,Hyalistil coll.,Acido ialuronico,"[""Acido ialuronico""]",1,1,1.0,1,True
hyrimoz,Hyrimoz,Adalimumab,"[""Adalimumab""]",1,1,1.0,1,True
idilla,Idilla,Estradiolo/dienogest,"[""Estradiolo"", ""dienogest""]",2,2,1.0,1,True
idracal,Idracal,Calcio carbonato,"[""Calcio carbonato""]",3,3,1.0,1,True
idroclorotiazide au,Idroclorotiazide au,Idroclorotiazide,"[""Idroclorotiazide""]",1,1,1.0,1,True
igroton,Igroton,Clortalidone,"[""Clortalidone""]",1,1,1.0,1,True
imigran,Imigran,Sumatriptan,"[""Sumatriptan""]",1,1,1.0,1,True
incruse ellipta,Incruse ellipta,Umeclidinio,"[""Umeclidinio""]",1,1,1.0,1,True
inderal,Inderal,Propranololo,"[""Propranololo""]",2,2,1.0,1,True
inegy,Inegy,Ezetimibe/simvastatina,"[""Ezetimibe"", ""simvastatina""]",5,5,1.0,1,True
inhixa,Inhixa,Enoxaparina,"[""Enoxaparina""]",1,1,1.0,1,True
inipant,Inipant,Pantoprazolo,"[""Pantoprazolo""]",1,1,1.0,1,True
inspra,Inspra,Eplerenone,"[""Eplerenone""]",178,178,1.0,1,True
insulina aspart sanofi,Insulina aspart sanofi,Insulina aspart,"[""Insulina aspart""]",1,1,1.0,1,True
invokana,Invokana,Canagliflozin,"[""Canagliflozin""]",4,4,1.0,1,True
iperten,Iperten,Manidipina,"[""Manidipina""]",1,1,1.0,1,True
isoptin,Isoptin,Verapamil,"[""Verapamil""]",1,1,1.0,1,True
ivabradina kr,Ivabradina kr,Ivabradina,"[""Ivabradina""]",7,7,1.0,1,True
januvia,Januvia,Sitagliptin,"[""Sitagliptin""]",1,1,1.0,1,True
jardiance,Jardiance,Empagliflozin,"[""Empagliflozin""]",72,72,1.0,1,True
juluca,Juluca,Dolutegravir/rilpivirina,"[""Dolutegravir"", ""rilpivirina""]",1,1,1.0,1,True
jumex,Jumex,Selegilina,"[""Selegilina""]",1,1,1.0,1,True
kanrenol,Kanrenol,Potassio canrenoato,"[""Potassio canrenoato""]",6,6,1.0,1,True
karvea,Karvea,Irbesartan,"[""Irbesartan""]",3,3,1.0,1,True
karvezide,Karvezide,Irbesartan/idroclorotiazide,"[""Irbesartan"", ""idroclorotiazide""]",1,1,1.0,1,True
kayexalate,Kayexalate,Sodio polistirensulfonato,"[""Sodio polistirensulfonato""]",1,1,1.0,1,True
kcl retard,Kcl retard,Potassio cloruro,"[""Potassio cloruro""]",37,37,1.0,1,True
keppra,Keppra,Levetiracetam,"[""Levetiracetam""]",4,4,1.0,1,True
kerendia,Kerendia,Finerenone,"[""Finerenone""]",1,1,1.0,1,True
kessar,Kessar,Tamoxifene,"[""Tamoxifene""]",1,1,1.0,1,True
ketoconazole est,Ketoconazole est,Ketoconazolo,"[""Ketoconazolo""]",1,1,1.0,1,True
keymet,Keymet,Metformina,"[""Metformina""]",1,1,1.0,1,True
kineret,Kineret,Anakinra,"[""Anakinra""]",1,1,1.0,1,True
kobey,Kobey,Ezetimibe,"[""Ezetimibe""]",1,1,1.0,1,True
krupil,Krupil,Ramipril,"[""Ramipril""]",8,8,1.0,1,True
krustat,Krustat,Simvastatina,"[""Simvastatina""]",1,1,1.0,1,True
lacipil,Lacipil,Lacidipina,"[""Lacidipina""]",1,1,1.0,1,True
lacirex,Lacirex,Lacidipina,"[""Lacidipina""]",3,3,1.0,1,True
ladip,Ladip,Lacidipina,"[""Lacidipina""]",1,1,1.0,1,True
laevolac eps scir,Laevolac eps scir.,Lattulosio,"[""Lattulosio""]",2,2,1.0,1,True
lamictal,Lamictal,Lamotrigina,"[""Lamotrigina""]",1,1,1.0,1,True
lanoxin,Lanoxin,Digossina,"[""Digossina""]",31,31,1.0,1,True
lansoprazolo,Lansoprazolo,Lansoprazolo,"[""Lansoprazolo""]",1,1,1.0,1,True
lansoprazolo abc,Lansoprazolo abc,Lansoprazolo,"[""Lansoprazolo""]",5,5,1.0,1,True
lansoprazolo my,Lansoprazolo my,Lansoprazolo,"[""Lansoprazolo""]",13,13,1.0,1,True
lansox,Lansox,Lansoprazolo,"[""Lansoprazolo""]",6,6,1.0,1,True
lantus,Lantus,Insulina glargine,"[""Insulina glargine""]",17,17,1.0,1,True
laroxyl,Laroxyl,Amitriptilina,"[""Amitriptilina""]",2,2,1.0,1,True
lasitone,Lasitone,Furosemide/spironolattone,"[""Furosemide"", ""spironolattone""]",4,4,1.0,1,True
lasix,Lasix,Furosemide,"[""Furosemide""]",251,251,1.0,1,True
lasix scir,Lasix scir.,Furosemide,"[""Furosemide""]",3,3,1.0,1,True
laventair ellipta,Laventair ellipta,Umeclidinio/vilanterolo,"[""Umeclidinio"", ""vilanterolo""]",6,6,1.0,1,True
lendormin,Lendormin,Brotizolam,"[""Brotizolam""]",1,1,1.0,1,True
lentokalium,Lentokalium,Potassio cloruro,"[""Potassio cloruro""]",35,35,1.0,1,True
lercadip,Lercadip,Lercanidipina,"[""Lercanidipina""]",5,5,1.0,1,True
lercanidipina acc,Lercanidipina acc,Lercanidipina,"[""Lercanidipina""]",1,1,1.0,1,True
lercanidipina aur,Lercanidipina aur,Lercanidipina,"[""Lercanidipina""]",1,1,1.0,1,True
lercaprel,Lercaprel,Enalapril/lercanidipina,"[""Enalapril"", ""lercanidipina""]",1,1,1.0,1,True
lescol,Lescol,Fluvastatina,"[""Fluvastatina""]",1,1,1.0,1,True
letrozolo sun,Letrozolo sun,Letrozolo,"[""Letrozolo""]",3,3,1.0,1,True
levemir,Levemir,Insulina detemir,"[""Insulina detemir""]",2,2,1.0,1,True
levetiracetam my,Levetiracetam my,Levetiracetam,"[""Levetiracetam""]",1,1,1.0,1,True
levocetirizina au,Levocetirizina au,Levocetirizina,"[""Levocetirizina""]",1,1,1.0,1,True
levopraid,Levopraid,Levosulpiride,"[""Levosulpiride""]",2,2,1.0,1,True
levotiroxina te,Levotiroxina te,Levotiroxina,"[""Levotiroxina""]",1,1,1.0,1,True
levotirsol,Levotirsol,Levotiroxina,"[""Levotiroxina""]",2,2,1.0,1,True
lexotan,Lexotan,Bromazepam,"[""Bromazepam""]",3,3,1.0,1,True
libradin,Libradin,Barnidipina,"[""Barnidipina""]",2,2,1.0,1,True
limpidex,Limpidex,Lansoprazolo,"[""Lansoprazolo""]",1,1,1.0,1,True
lipidover,Lipidover,Rosuvastatina,"[""Rosuvastatina""]",1,1,1.0,1,True
lisinopril id doc,Lisinopril id doc,Lisinopril/idroclorotiazide,"[""Lisinopril"", ""idroclorotiazide""]",2,2,1.0,1,True
livial,Livial,Tibolone,"[""Tibolone""]",1,1,1.0,1,True
lixiana,Lixiana,Edoxaban,"[""Edoxaban""]",63,63,1.0,1,True
lobidiur,Lobidiur,Nebivololo/idroclorotiazide,"[""Nebivololo"", ""idroclorotiazide""]",1,1,1.0,1,True
lobivon,Lobivon,Nebivololo,"[""Nebivololo""]",21,21,1.0,1,True
lokelma,Lokelma,Sodio zirconio ciclosilicato,"[""Sodio zirconio ciclosilicato""]",4,4,1.0,1,True
lopresor,Lopresor,Metoprololo,"[""Metoprololo""]",8,8,1.0,1,True
lopridam,Lopridam,Perindopril/indapamide/amlodipina,"[""Perindopril"", ""indapamide"", ""amlodipina""]",2,2,1.0,1,True
lorazepam ari,Lorazepam ari,Lorazepam,"[""Lorazepam""]",1,1,1.0,1,True
lortaan,Lortaan,Losartan,"[""Losartan""]",4,4,1.0,1,True
lovastatina doc,Lovastatina doc,Lovastatina,"[""Lovastatina""]",1,1,1.0,1,True
lucen,Lucen,Esomeprazolo,"[""Esomeprazolo""]",12,12,1.0,1,True
lucen grat per,Lucen grat. per,Esomeprazolo,"[""Esomeprazolo""]",8,8,1.0,1,True
lumigan coll,Lumigan coll.,Bimatoprost,"[""Bimatoprost""]",2,2,1.0,1,True
luminale,Luminale,Fenobarbital,"[""Fenobarbital""]",2,2,1.0,1,True
luvion,Luvion,Canrenone,"[""Canrenone""]",41,41,1.0,1,True
lyrica,Lyrica,Pregabalin,"[""Pregabalin""]",15,15,1.0,1,True
maalox,Maalox,Alluminio idrossido/magnesio idrossido,"[""Alluminio idrossido"", ""magnesio idrossido""]",1,1,1.0,1,True
macrogol sand,Macrogol sand,Macrogol 3350/sodio bicarbonato/sodio cloruro/potassio cloruro,"[""Macrogol 3350"", ""sodio bicarbonato"", ""sodio cloruro"", ""potassio cloruro""]",1,1,1.0,1,True
macrolax,Macrolax,Docusato sodico/sorbitolo,"[""Docusato sodico"", ""sorbitolo""]",1,1,1.0,1,True
madopar,Madopar,Levodopa/benserazide,"[""Levodopa"", ""benserazide""]",2,2,1.0,1,True
magaldrato my,Magaldrato my,Magaldrato,"[""Magaldrato""]",2,2,1.0,1,True
magnesio solfato,Magnesio solfato,Magnesio solfato,"[""Magnesio solfato""]",1,1,1.0,1,True
manidipina auro,Manidipina auro,Manidipina,"[""Manidipina""]",1,1,1.0,1,True
mantadan,Mantadan,Amantadina,"[""Amantadina""]",2,2,1.0,1,True
maoris,Maoris,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",7,7,1.0,1,True
medrol,Medrol,Metilprednisolone,"[""Metilprednisolone""]",53,53,1.0,1,True
meliglix,Meliglix,Sitagliptin,"[""Sitagliptin""]",2,2,1.0,1,True
memantina my,Memantina my,Memantina,"[""Memantina""]",1,1,1.0,1,True
meritene forza vitalita cioc,Meritene forza/vitalita' cioc,Nessun principio attivo,"[""Nessun principio attivo""]",1,1,1.0,1,True
metadone clor mol,Metadone clor mol,Metadone,"[""Metadone""]",1,1,1.0,1,True
metforal,Metforal,Metformina,"[""Metformina""]",4,4,1.0,1,True
metformina alm,Metformina alm,Metformina,"[""Metformina""]",1,1,1.0,1,True
metformina alt,Metformina alt,Metformina,"[""Metformina""]",1,1,1.0,1,True
metformina aur,Metformina aur,Metformina,"[""Metformina""]",8,8,1.0,1,True
metformina doc,Metformina doc,Metformina,"[""Metformina""]",1,1,1.0,1,True
metformina eg,Metformina eg,Metformina,"[""Metformina""]",1,1,1.0,1,True
methotrexate,Methotrexate,Metotrexato,"[""Metotrexato""]",3,3,1.0,1,True
metoprololo au,Metoprololo au,Metoprololo,"[""Metoprololo""]",9,9,1.0,1,True
metoprololo doc,Metoprololo doc,Metoprololo,"[""Metoprololo""]",1,1,1.0,1,True
metoprololo hex,Metoprololo hex,Metoprololo,"[""Metoprololo""]",19,19,1.0,1,True
mexiletina cloridrato,Mexiletina cloridrato,Mexiletina,"[""Mexiletina""]",1,1,1.0,1,True
mexiletina cloridrato 200mg 50cps,Mexiletina cloridrato 200mg 50cps,Mexiletina,"[""Mexiletina""]",2,2,1.0,1,True
micardis,Micardis,Telmisartan,"[""Telmisartan""]",5,5,1.0,1,True
micardisplus,Micardisplus,Telmisartan/idroclorotiazide,"[""Telmisartan"", ""idroclorotiazide""]",3,3,1.0,1,True
micofenolato m til,Micofenolato m til,Micofenolato mofetile,"[""Micofenolato mofetile""]",1,1,1.0,1,True
midazolam ham,Midazolam ham,Midazolam,"[""Midazolam""]",1,1,1.0,1,True
minias,Minias,Lormetazepam,"[""Lormetazepam""]",2,2,1.0,1,True
minirin ddavp,Minirin/ddavp,Desmopressina,"[""Desmopressina""]",1,1,1.0,1,True
minitran,Minitran,Nitroglicerina,"[""Nitroglicerina""]",1,1,1.0,1,True
mirapexin,Mirapexin,Pramipexolo,"[""Pramipexolo""]",5,5,1.0,1,True
mirebax,Mirebax,Rivaroxaban,"[""Rivaroxaban""]",41,41,1.0,1,True
mirtazapina auro,Mirtazapina auro,Mirtazapina,"[""Mirtazapina""]",4,4,1.0,1,True
mirtazapina eg,Mirtazapina eg,Mirtazapina,"[""Mirtazapina""]",1,1,1.0,1,True
moduretic,Moduretic,Amiloride/idroclorotiazide,"[""Amiloride"", ""idroclorotiazide""]",3,3,1.0,1,True
momecort,Momecort,Mometasone,"[""Mometasone""]",1,1,1.0,1,True
momentkid,Momentkid,Ibuprofene,"[""Ibuprofene""]",1,1,1.0,1,True
monoket,Monoket,Isosorbide mononitrato,"[""Isosorbide mononitrato""]",3,3,1.0,1,True
monoprost coll,Monoprost coll.,Latanoprost,"[""Latanoprost""]",1,1,1.0,1,True
montegen,Montegen,Montelukast,"[""Montelukast""]",1,1,1.0,1,True
montelukast san,Montelukast san,Montelukast,"[""Montelukast""]",3,3,1.0,1,True
monuril grat per sol os,Monuril grat. per sol. os,Fosfomicina,"[""Fosfomicina""]",1,1,1.0,1,True
motilium,Motilium,Domperidone,"[""Domperidone""]",1,1,1.0,1,True
mounjaro,Mounjaro,Tirzepatide,"[""Tirzepatide""]",2,2,1.0,1,True
movicol,Movicol,Macrogol 3350/sodio bicarbonato/sodio cloruro/potassio cloruro,"[""Macrogol 3350"", ""sodio bicarbonato"", ""sodio cloruro"", ""potassio cloruro""]",7,7,1.0,1,True
ms contin,Ms contin,Morfina,"[""Morfina""]",2,2,1.0,1,True
mutabon ansiolitico,Mutabon ansiolitico,Perfenazina/amitriptilina,"[""Perfenazina"", ""amitriptilina""]",1,1,1.0,1,True
mutabon mite,Mutabon mite,Perfenazina/amitriptilina,"[""Perfenazina"", ""amitriptilina""]",2,2,1.0,1,True
mycostatin,Mycostatin,Nistatina,"[""Nistatina""]",2,2,1.0,1,True
nadololo,Nadololo,Nadololo,"[""Nadololo""]",1,1,1.0,1,True
nadololo chepla,Nadololo chepla,Nadololo,"[""Nadololo""]",7,7,1.0,1,True
naprilene,Naprilene,Enalapril,"[""Enalapril""]",2,2,1.0,1,True
natecal d3,Natecal d3,Calcio carbonato/colecalciferolo,"[""Calcio carbonato"", ""colecalciferolo""]",3,3,1.0,1,True
natrilix,Natrilix,Indapamide,"[""Indapamide""]",1,1,1.0,1,True
nebilox,Nebilox,Nebivololo,"[""Nebivololo""]",1,1,1.0,1,True
nebivololo sandoz,Nebivololo sandoz,Nebivololo,"[""Nebivololo""]",4,4,1.0,1,True
nebivololo zentiva,Nebivololo zentiva,Nebivololo,"[""Nebivololo""]",4,4,1.0,1,True
nerixia,Nerixia,Acido neridronico,"[""Acido neridronico""]",1,1,1.0,1,True
neuraben,Neuraben,Benmetiamina/piridossina/cianocobalamina,"[""Benmetiamina"", ""piridossina"", ""cianocobalamina""]",1,1,1.0,1,True
nevanac coll,Nevanac coll.,Nepafenac,"[""Nepafenac""]",1,1,1.0,1,True
nexium,Nexium,Esomeprazolo,"[""Esomeprazolo""]",3,3,1.0,1,True
nexium grat per,Nexium grat. per,Esomeprazolo,"[""Esomeprazolo""]",3,3,1.0,1,True
nifedipina my,Nifedipina my,Nifedipina,"[""Nifedipina""]",2,2,1.0,1,True
niglina,Niglina,Nitroglicerina,"[""Nitroglicerina""]",4,4,1.0,1,True
nilemdo,Nilemdo,Acido bempedoico,"[""Acido bempedoico""]",5,5,1.0,1,True
nimodipina doc,Nimodipina doc,Nimodipina,"[""Nimodipina""]",1,1,1.0,1,True
nitroderm tts,Nitroderm tts,Nitroglicerina,"[""Nitroglicerina""]",11,11,1.0,1,True
nitroglicerina sand,Nitroglicerina sand,Nitroglicerina,"[""Nitroglicerina""]",1,1,1.0,1,True
noan,Noan,Diazepam,"[""Diazepam""]",1,1,1.0,1,True
nobistar,Nobistar,Nebivololo,"[""Nebivololo""]",1,1,1.0,1,True
nodigap,Nodigap,Colecalciferolo,"[""Colecalciferolo""]",2,2,1.0,1,True
normix,Normix,Rifaximina,"[""Rifaximina""]",1,1,1.0,1,True
norvasc,Norvasc,Amlodipina,"[""Amlodipina""]",115,115,1.0,1,True
novorapid,Novorapid,Insulina aspart,"[""Insulina aspart""]",2,2,1.0,1,True
nucala,Nucala,Mepolizumab,"[""Mepolizumab""]",1,1,1.0,1,True
nustendi,Nustendi,Acido bempedoico/ezetimibe,"[""Acido bempedoico"", ""ezetimibe""]",18,18,1.0,1,True
ofev,Ofev,Nintedanib,"[""Nintedanib""]",2,2,1.0,1,True
olanzapina aur,Olanzapina aur,Olanzapina,"[""Olanzapina""]",1,1,1.0,1,True
olanzapina che,Olanzapina che,Olanzapina,"[""Olanzapina""]",1,1,1.0,1,True
olmesartan am doc,Olmesartan am doc,Olmesartan medoxomil/amlodipina,"[""Olmesartan medoxomil"", ""amlodipina""]",1,1,1.0,1,True
olmesartan medox al,Olmesartan medox al,Olmesartan medoxomil,"[""Olmesartan medoxomil""]",1,1,1.0,1,True
olmesartan my,Olmesartan my,Olmesartan medoxomil,"[""Olmesartan medoxomil""]",1,1,1.0,1,True
olmetrivart,Olmetrivart,Olmesartan medoxomil/amlodipina/idroclorotiazide,"[""Olmesartan medoxomil"", ""amlodipina"", ""idroclorotiazide""]",3,3,1.0,1,True
olpress,Olpress,Olmesartan medoxomil,"[""Olmesartan medoxomil""]",8,8,1.0,1,True
olprezide,Olprezide,Olmesartan medoxomil/idroclorotiazide,"[""Olmesartan medoxomil"", ""idroclorotiazide""]",1,1,1.0,1,True
omeprazen,Omeprazen,Omeprazolo,"[""Omeprazolo""]",1,1,1.0,1,True
omeprazolo,Omeprazolo,Omeprazolo,"[""Omeprazolo""]",1,1,1.0,1,True
omeprazolo my,Omeprazolo my,Omeprazolo,"[""Omeprazolo""]",34,34,1.0,1,True
omeprazolo pe,Omeprazolo pe,Omeprazolo,"[""Omeprazolo""]",1,1,1.0,1,True
omnic,Omnic,Tamsulosina,"[""Tamsulosina""]",15,15,1.0,1,True
onbrez breezhaler,Onbrez breezhaler,Indacaterolo,"[""Indacaterolo""]",1,1,1.0,1,True
onco carbide,Onco carbide,Idroxicarbamide,"[""Idroxicarbamide""]",1,1,1.0,1,True
opsumit,Opsumit,Macitentan,"[""Macitentan""]",16,16,1.0,1,True
oramorph,Oramorph,Morfina,"[""Morfina""]",1,1,1.0,1,True
oramorph scir,Oramorph scir.,Morfina,"[""Morfina""]",1,1,1.0,1,True
orotre,Orotre,Calcio carbonato/colecalciferolo,"[""Calcio carbonato"", ""colecalciferolo""]",1,1,1.0,1,True
ozempic,Ozempic,Semaglutide,"[""Semaglutide""]",11,11,1.0,1,True
palexia,Palexia,Tapentadolo,"[""Tapentadolo""]",8,8,1.0,1,True
pancleus,Pancleus,Pantoprazolo,"[""Pantoprazolo""]",1,1,1.0,1,True
pantopan,Pantopan,Pantoprazolo,"[""Pantoprazolo""]",1,1,1.0,1,True
pantoprazolo,Pantoprazolo,Pantoprazolo,"[""Pantoprazolo""]",3,3,1.0,1,True
pantoprazolo aur,Pantoprazolo aur,Pantoprazolo,"[""Pantoprazolo""]",112,112,1.0,1,True
pantoprazolo sand,Pantoprazolo sand,Pantoprazolo,"[""Pantoprazolo""]",161,161,1.0,1,True
pantoprazolo sandoz,Pantoprazolo sandoz,Pantoprazolo,"[""Pantoprazolo""]",1,1,1.0,1,True
pantoprazolo til,Pantoprazolo til,Pantoprazolo,"[""Pantoprazolo""]",2,2,1.0,1,True
pantorc,Pantorc,Pantoprazolo,"[""Pantoprazolo""]",114,114,1.0,1,True
paracetamolo,Paracetamolo,Paracetamolo,"[""Paracetamolo""]",1,1,1.0,1,True
paracetamolo codeina my,Paracetamolo codeina my,Paracetamolo/codeina,"[""Paracetamolo"", ""codeina""]",1,1,1.0,1,True
paracetamolo gs,Paracetamolo gs,Paracetamolo,"[""Paracetamolo""]",1,1,1.0,1,True
paracetamolo kab,Paracetamolo kab,Paracetamolo,"[""Paracetamolo""]",1,1,1.0,1,True
paracodina,Paracodina,Diidrocodeina,"[""Diidrocodeina""]",4,4,1.0,1,True
pariet,Pariet,Rabeprazolo,"[""Rabeprazolo""]",2,2,1.0,1,True
paroxetina,Paroxetina,Paroxetina,"[""Paroxetina""]",1,1,1.0,1,True
paroxetina aur,Paroxetina aur,Paroxetina,"[""Paroxetina""]",11,11,1.0,1,True
parvati,Parvati,Ramipril/amlodipina,"[""Ramipril"", ""amlodipina""]",9,9,1.0,1,True
paxabel,Paxabel,Macrogol 4000,"[""Macrogol 4000""]",1,1,1.0,1,True
penstapho,Penstapho,Oxacillina,"[""Oxacillina""]",1,1,1.0,1,True
pentacol 800,Pentacol 800,Mesalazina,"[""Mesalazina""]",1,1,1.0,1,True
peptazol,Peptazol,Pantoprazolo,"[""Pantoprazolo""]",5,5,1.0,1,True
perindopril doc,Perindopril doc,Perindopril,"[""Perindopril""]",3,3,1.0,1,True
perindopril in my,Perindopril in my,Perindopril/indapamide,"[""Perindopril"", ""indapamide""]",1,1,1.0,1,True
pioglitazone auro,Pioglitazone auro,Pioglitazone,"[""Pioglitazone""]",1,1,1.0,1,True
plasil,Plasil,Metoclopramide,"[""Metoclopramide""]",1,1,1.0,1,True
plaunac,Plaunac,Olmesartan medoxomil,"[""Olmesartan medoxomil""]",18,18,1.0,1,True
plaunazide,Plaunazide,Olmesartan medoxomil/idroclorotiazide,"[""Olmesartan medoxomil"", ""idroclorotiazide""]",4,4,1.0,1,True
plavix,Plavix,Clopidogrel,"[""Clopidogrel""]",74,74,1.0,1,True
pradaxa,Pradaxa,Dabigatran,"[""Dabigatran""]",11,11,1.0,1,True
pradaxa grat,Pradaxa grat.,Dabigatran,"[""Dabigatran""]",3,3,1.0,1,True
praluent,Praluent,Alirocumab,"[""Alirocumab""]",6,6,1.0,1,True
pramipexolo my,Pramipexolo my,Pramipexolo,"[""Pramipexolo""]",1,1,1.0,1,True
prasugrel teva,Prasugrel teva,Prasugrel,"[""Prasugrel""]",6,6,1.0,1,True
prasugrel via,Prasugrel via,Prasugrel,"[""Prasugrel""]",2,2,1.0,1,True
prednisone eg,Prednisone eg,Prednisone,"[""Prednisone""]",1,1,1.0,1,True
pregabalin eg,Pregabalin eg,Pregabalin,"[""Pregabalin""]",3,3,1.0,1,True
pregabalin sandoz,Pregabalin sandoz,Pregabalin,"[""Pregabalin""]",12,12,1.0,1,True
preterax,Preterax,Perindopril/indapamide,"[""Perindopril"", ""indapamide""]",2,2,1.0,1,True
prinzide,Prinzide,Lisinopril/idroclorotiazide,"[""Lisinopril"", ""idroclorotiazide""]",1,1,1.0,1,True
prisma,Prisma,Mesoglicano,"[""Mesoglicano""]",1,1,1.0,1,True
pritor,Pritor,Telmisartan,"[""Telmisartan""]",1,1,1.0,1,True
procoralan,Procoralan,Ivabradina,"[""Ivabradina""]",2,2,1.0,1,True
profuzo,Profuzo,Alfuzosina,"[""Alfuzosina""]",1,1,1.0,1,True
